Name ,Voltage ,Start point Station ,Voltage startpoint,End point substation ,Voltage Endpoint,Latitude start point,Longitude start point,Latitude end point ,longitude end point
Helping Bus 36,110,Helping Bus 36,110,Bad Segeberg,110,53.956499,10.387742,53.927977,10.299479
Bad Segeberg,110,Bad Segeberg,110,Wahlstedt,110,53.927977,10.299479,53.943087,10.209601
Helping Bus 36,110,Helping Bus 36,110,Geschendorf,110/30,53.956499,10.387742,53.922746,10.46981
Geschendorf,110,Geschendorf,110,Niendorf,110/30,53.922746,10.46981,53.824519,10.595756
Niendorf,110/30,Niendorf,110,Helping Bus 52,110,53.824519,10.595756,53.762864,10.402934
Helping Bus 52,110,Helping Bus 52,110,Bad Oldesloe,110/20/11,53.762864,10.402934,53.811866,10.402556
Niendorf,110,Niendorf,110,Genin Sud,110,53.824519,10.595756,53.83611,10.660491
Genin Sud,110,Genin Sud,110,Lübeck Genin,110/15,53.83611,10.660491,53.839138,10.653943
Lübeck Genin,110,Lübeck Genin,110,Dombreite,110,53.839138,10.653943,53.871191,10.62261
Dombreite,110,Dombreite,110,Lubeck,110,53.871191,10.62261,53.919076,10.642002
Genin Sud,110,Genin Sud,110,Strecknitz ,110,53.83611,10.660491,53.834958,10.713419
Niendorf,110,Niendorf,110,Lubeck,110,53.824519,10.595756,53.919076,10.642002
Gohl,110,Gohl,110,Helping Bus 39,110,54.284559,10.938429,54.251524,10.88309
Helping Bus 39,110,Helping Bus 39,110,Lensahn,110,54.251524,10.88309,54.215856,10.904792
Lensahn,110,Lensahn,110,Cismar West,110,54.215856,10.904792,54.188673,10.966059
Helping Bus 39,110,Helping Bus 39,110,Helping Bus 40,110,54.251524,10.88309,54.108589,10.781936
Helping Bus 40,110,Helping Bus 40,110,Rogerfelde,110/30/11,54.108589,10.781936,54.110185,10.778867
Helping Bus 40,110,Helping Bus 40,110,Helping Bus 41,110,54.108589,10.781936,54.099587,10.629905
Helping Bus 41,110,Helping Bus 41,110,Eutin ,110/11,54.099587,10.629905,54.123589,10.620644
Helping Bus 41,110,Helping Bus 41,110,Bahrenkrug,110,54.099587,10.629905,54.043711,10.47541
Helping Bus 40,110,Helping Bus 40,110,Scharbeutz,110/30/11,54.108589,10.781936,54.031258,10.739326
Scharbeutz,110,Scharbeutz,110,Siems ,380/220/110,54.031258,10.739326,53.909843,10.760494
Siems ,380/110,Siems,380/110,Kraftwerk Herrenwyk,380/110,53.909843,10.760494,53.897908,10.802039
Siems,110,Siems,110,Bad Schwartau,110,53.909843,10.760494,53.920896,10.666394
Bad Schwartau,110,Bad Schwartau,110,Lübeck  ,110/30,53.920896,10.666394,53.919076,10.642002
Lübeck  ,110,Lübeck  ,110,Substation Adj 4,110,53.919076,10.642002,53.910848,10.662355
Substation Adj 4,110,Substation Adj 4,110,Vorwerk,110,53.910848,10.662355,53.896577,10.692798
Vorwerk,110,Vorwerk,110,Schlaltanlage Lubeck Nord,110,53.896577,10.692798,53.873426,10.665083
Vorwerk,110,Vorwerk,110,St lorenz Nord,110/10,53.896577,10.692798,53.873393,10.665163
St lorenz Nord,110,St lorenz Nord,110,Schlaltanlage Lubeck Sud,110/10,53.873393,10.665163,53.854509,10.680991
St lorenz Sud,110/10,St lorenz Sud,110/10,Schlaltanlage Lubeck Sud,110/10,53.858828,10.666947,53.854509,10.680991
Schlaltanlage Lubeck Sud,110/10,Schlaltanlage Lubeck Sud,110/10,Lubeck Zentrum,110/10,53.854509,10.680991,53.868927,10.68374
Lubeck Zentrum,110/10,Lubeck Zentrum,110/10,Getrud,110,53.868927,10.68374,53.887156,10.705112
